# date,home,away,home goals,away goals

# Week One
3/1/24,Corona 3,Corona 2,8,1
3/1/24,Corona 1,Murrieta,1,3
3/2/24,Menifee,Corona 2,4,1
3/2/24,Jurupa,Perris,4,2
3/2/24,Beaumont,Moreno Valley 1,2,5
3/2/24,Riverside,Hemet 1,8,0
3/2/24,French Valley,Moreno Valley 2,4,2

# Week Two
3/9/24,Moreno Valley 1,French Valley,4,2
3/9/24,Corona 2,Corona 1,1,9
3/9/24,Riverside,Murrieta,3,1
3/9/24,Redlands,Jurupa,2,5
3/9/24,Moreno Valley 2,Corona 3,0,5
3/9/24,Beaumont,Perris,4,1
3/10/24,Hemet 2,Redlands,0,3
3/10/24,Hemet 1,Murrieta,1,10

# Week Three
3/16/24,Perris,Corona 1,0,7
3/16/24,Murrieta,Moreno Valley 2,5,2
3/16/24,Corona 2,Beaumont,6,3
3/16/24,French Valley,Menifee,1,4
3/16/24,Moreno Valley 1,Riverside,2,7
3/16/24,Corona 3,Redlands,4,1
3/17/24,Hemet 1,Jurupa,1,7
3/17/24,Hemet 2,Corona 3,0,7

# Week Four
3/21/24,Menifee,Moreno Valley 1,1,4
3/21/24,Hemet 2,Hemet 1,4,0
3/22/24,Jurupa,Corona 1,4,3
3/23/24,Perris,Corona 3,0,11
3/23/24,Riverside,Moreno Valley 2,9,0
3/23/24,Redlands,French Valley,3,2
3/23/24,Murrieta,Corona 2,5,2

# Week Five
3/26/24,Hemet 1,Beaumont,4,2
4/3/24,Menifee,Hemet 2,1,1
4/3/24,Perris,Riverside,1,8

# Week Six
4/10/24,Menifee,Murrieta,4,9
4/11/24,Jurupa,Moreno Valley 1,4,1
4/11/24,Redlands,Menifee,3,3
4/13/24,Riverside,Beaumont,5,0
4/13/24,Redlands,Corona 2,4,0
4/13/24,Corona 1,Hemet 1,11,0
4/13/24,French Valley,Hemet 2,3,0
4/13/24,Moreno Valley 2,Perris,3,0
4/14/24,Hemet 1,Moreno Valley 1,1,4

# Week Seven
4/18/24,Redlands,Moreno Valley 2
4/18/24,Perris,French Valley
4/19/24,Corona 2,Riverside
4/19/24,Corona 1,Hemet 2
4/20/24,Jurupa,Corona 3
4/20/24,Moreno Valley 2,Menifee

# Week Eight
4/24/24,French Valley,Corona 1
4/27/24,Beaumont,French Valley
4/27/24,Jurupa,Menifee
4/27/24,Redlands,Perris
4/27/24,Corona 2,Hemet 1
4/27/24,Moreno Valley 1,Corona 3
4/27/24,Hemet 2,Riverside
4/27/24,Corona 1,Moreno Valley 2
4/27/24,Murrieta,Beaumont
4/28/24,Redlands,Moreno Valley 1

# Week Nine
5/3/24,Murrieta,Jurupa
5/4/24,Hemet 2,Perris
5/4/24,Beaumont,Jurupa
5/4/24,Menifee,Hemet 1
5/4/24,Corona 1,Riverside
5/4/24,French Valley,Corona 2
5/4/24,Corona 3,Murrieta
5/4/24,Moreno Valley 2,Moreno Valley 1

# Week Ten
5/11/24,Beaumont,Redlands
5/11/24,Perris,Menifee
5/11/24,Riverside,Jurupa
5/11/24,Murrieta,Hemet 2
5/11/24,Hemet 1,Moreno Valley 2
5/11/24,Corona 3,French Valley
5/11/24,Moreno Valley 1,Corona 1

# Need Reschedule
5/12/24,Corona 3,Beaumont
5/12/24,Corona 2,Hemet 2
