# date,home,away,home goals,away goals

# Week One
3/8/24,Corona,Riverside,5,0

# Week Two
3/12/24,Perris,Menifee,4,4
3/13/24,Corona,Jurupa,0,5
3/16/24,Riverside,French Valley,2,3

# Week Three
3/18/24,Jurupa,Riverside,8,0
3/23/24,French Valley,Perris,0,3

# Week Four
3/27/24,Jurupa,French Valley,15,0
3/29/24,Menifee,French Valley,5,0
3/29/24,Corona,Perris,3,2
4/1/24,Riverside,Menifee

# Week Five
4/2/24,Perris,Riverside,7,0
4/3/24,French Valley,Corona,2,8
4/3/24,Menifee,Jurupa,0,4

# Week Six
4/8/24,Menifee,Corona
4/9/24,Perris,Jurupa
4/10/24,French Valley,Menifee
4/11/24,Riverside,Corona

# Week Seven
4/17/24,Jurupa,Corona
4/19/24,Menifee,Perris
4/20/24,French Valley,Riverside

# Week Eight
4/22/24,Perris,French Valley
4/26/24,Corona,Menifee
4/27/24,Riverside,Jurupa

# Week Nine
4/29/24,Menifee,Riverside
4/30/24,Perris,Corona
5/4/24,French Valley,Jurupa

# Week Ten
5/6/24,Jurupa,Menifee
5/10/24,Corona,French Valley
5/11/24,Riverside,Perris

# Need Reschedule
5/12/24,Jurupa,Perris
