# date,home,away,home goals,away goals

# Week One
2/28/24,Hemet,Beaumont,1,3
3/1/24,Corona,Mountains,3,2
3/2/24,Riverside,Perris,1,1
3/2/24,French Valley,Moreno Valley,7,0
3/2/24,Redlands,Menifee,0,3

# Week Two
3/9/24,Perris,Redlands,1,2
3/9/24,Riverside,Hemet,5,1
3/9/24,Corona,Menifee,3,3
3/9/24,Beaumont,French Valley,0,3

# Week Three
3/13/24,Hemet,Corona,0,2
3/16/24,Perris,French Valley,2,3
3/16/24,Redlands,Moreno Valley,4,0
3/16/24,Riverside,Beaumont,1,2
3/16/24,Menifee,Mountains,1,2

# Week Four
3/20/24,Hemet,Beaumont,0,4
3/23/24,Redlands,Menifee,0,2
3/23/24,Moreno Valley,French Valley,0,12
3/23/24,Riverside,Perris,3,4
3/23/24,Corona,Mountains,2,4

# Week Five
3/25/24,Beaumont,Corona,1,2
4/3/24,Perris,Moreno Valley,2,0

# Week Six
4/8/24,Redlands,Riverside,4,0
4/10/24,Menifee,Perris,0,0
4/10/24,Hemet,Mountains,0,3
4/13/24,Hemet,Redlands,1,3
4/13/24,Moreno Valley,Corona,0,8

# Week Seven
4/17/24,Menifee,Beaumont,4,2
4/17/24,Perris,Hemet,2,0
4/20/24,French Valley,Menifee,3,1
4/20/24,Riverside,Moreno Valley,7,0

# Week Eight
4/25/24,Corona,Riverside
4/27/24,Perris,Mountains
4/27/24,Beaumont,Redlands
4/27/24,French Valley,Hemet
4/27/24,Moreno Valley,Menifee
4/28/24,Redlands,Mountains

# Week Nine
4/29/24,Beaumont,Moreno Valley
4/30/24,Menifee,Hemet
5/1/24,French Valley,Riverside
5/2/24,Perris,Corona
5/4/24,Beaumont,Mountains
5/4/24,Riverside,Mountains

# Week Ten
5/8/24,French Valley,Mountains
5/11/24,Redlands,French Valley
5/11/24,Menifee,Riverside
5/11/24,Beaumont,Perris
5/11/24,Moreno Valley,Hemet
5/11/24,Corona,Redlands

# Need Reschedule
5/12/24,Corona,French Valley
5/13/24,Moreno Valley,Mountains
